hour	month	value
0	1	50
1	1	26
2	1	15
3	1	18
4	1	252
5	1	1205
6	1	1919
7	1	2897
8	1	4093
9	1	5148
10	1	5514
11	1	5219
12	1	4571
13	1	4276
14	1	3889
15	1	3917
16	1	4094
17	1	3641
18	1	2090
19	1	907
20	1	468
21	1	290
22	1	100
23	1	48
0	2	31
1	2	9
2	2	12
3	2	20
4	2	175
5	2	691
6	2	1444
7	2	2014
8	2	2448
9	2	2667
10	2	3054
11	2	3016
12	2	2489
13	2	2347
14	2	2226
15	2	2295
16	2	2456
17	2	2378
18	2	1730
19	2	848
20	2	285
21	2	191
22	2	89
23	2	40
0	3	29
1	3	9
2	3	16
3	3	214
4	3	893
5	3	1700
6	3	2353
7	3	3229
8	3	3381
9	3	3037
10	3	2988
11	3	2998
12	3	2801
13	3	2486
14	3	2502
15	3	2784
16	3	3068
17	3	3172
18	3	2587
19	3	1385
20	3	541
21	3	218
22	3	66
23	3	29
0	4	35
1	4	24
2	4	7
3	4	311
4	4	1001
5	4	1767
6	4	2231
7	4	2549
8	4	2556
9	4	2163
10	4	1948
11	4	1812
12	4	1643
13	4	1522
14	4	1750
15	4	1804
16	4	2229
17	4	2314
18	4	2019
19	4	1453
20	4	743
21	4	330
22	4	87
23	4	62
0	5	28
1	5	21
2	5	55
3	5	516
4	5	1554
5	5	2750
6	5	3185
7	5	2870
8	5	2770
9	5	3357
10	5	3508
11	5	3121
12	5	2936
13	5	2475
14	5	2213
15	5	2340
16	5	2569
17	5	2570
18	5	2422
19	5	2160
20	5	1177
21	5	459
22	5	236
23	5	106
0	6	55
1	6	16
2	6	85
3	6	698
4	6	2046
5	6	3083
6	6	3298
7	6	2878
8	6	3134
9	6	3755
10	6	3749
11	6	3299
12	6	2857
13	6	2316
14	6	2151
15	6	2100
16	6	2611
17	6	2851
18	6	2496
19	6	2129
20	6	1842
21	6	710
22	6	244
23	6	140
0	7	27
1	7	16
2	7	94
3	7	675
4	7	2184
5	7	2974
6	7	2831
7	7	2333
8	7	2921
9	7	3988
10	7	3694
11	7	3257
12	7	2679
13	7	2260
14	7	2013
15	7	2003
16	7	2617
17	7	2918
18	7	2525
19	7	1876
20	7	1823
21	7	857
22	7	179
23	7	61
0	8	5
1	8	7
2	8	16
3	8	620
4	8	2178
5	8	2700
6	8	2794
7	8	2369
8	8	2861
9	8	3943
10	8	3908
11	8	3463
12	8	2760
13	8	2513
14	8	2060
15	8	2128
16	8	2609
17	8	2614
18	8	1955
19	8	1605
20	8	1356
21	8	232
22	8	37
23	8	22
0	9	17
1	9	13
2	9	11
3	9	423
4	9	1726
5	9	2260
6	9	2569
7	9	2816
8	9	2776
9	9	3119
10	9	2984
11	9	2494
12	9	2038
13	9	1649
14	9	1545
15	9	1693
16	9	1920
17	9	1720
18	9	1633
19	9	1168
20	9	773
21	9	164
22	9	38
23	9	14
0	10	1
1	10	6
2	10	0
3	10	14
4	10	235
5	10	1959
6	10	2018
7	10	2473
8	10	2091
9	10	2194
10	10	1943
11	10	1539
12	10	1373
13	10	1267
14	10	1128
15	10	1113
16	10	1036
17	10	1032
18	10	868
19	10	142
20	10	33
21	10	15
22	10	20
23	10	9
0	11	23
1	11	20
2	11	4
3	11	3
4	11	24
5	11	76
6	11	284
7	11	1571
8	11	2145
9	11	2535
10	11	3019
11	11	2855
12	11	2323
13	11	1984
14	11	1706
15	11	1649
16	11	1561
17	11	1780
18	11	1919
19	11	327
20	11	30
21	11	44
22	11	20
23	11	22
0	12	4
1	12	9
2	12	4
3	12	3
4	12	0
5	12	17
6	12	124
7	12	876
8	12	1107
9	12	1747
10	12	2186
11	12	2522
12	12	2523
13	12	2289
14	12	2463
15	12	2538
16	12	2427
17	12	2071
18	12	1672
19	12	372
20	12	31
21	12	15
22	12	13
23	12	14